ID,box,test_date,time_start,set_number,chamber,sex,population,flew,died?,flight_type,flight_details,NOTES,filename,mass,short-wing?,eggs,time_end
329,C,10.15,11:30am,1,A-1,M,Lake Placid,Y,,C,continuous,,set001-11am-10-15-19-A1.txt,,,,
372,Petri2,10.15,11:30am,1,A-2,F,Leesburg,N,,,,,set001-11am-10-15-19-A2.txt,,,,
37,Petri1,10.15,11:30am,1,A-3,F,Key Largo,N,Y,,,,set001-11am-10-15-19-A3.txt,,,,
303,C,10.15,11:30am,1,A-4,F,Lake Placid,N,,,,,set001-11am-10-15-19-A4.txt,,,,
259,C,10.15,11:30am,1,B-1,M,North Key Largo,N,,,,,set001-11am-10-15-19-B1.txt,,,,
354,D,10.15,11:30am,1,B-3,F,Lake Placid,N,,,,,set001-11am-10-15-19-B3.txt,,,,
89,Petri1,10.15,11:30am,1,B-2,M,Homestead,Y,,C,,,set001-11am-10-15-19-B2.txt,,,,
158,D,10.15,11:30am,1,B-4,M,Lake Wales,N,,,,,set001-11am-10-15-19-B4.txt,,,,
349,D,10.15,12:10,2,A-1,M,Lake Placid,N,,,,no recordings,NA,,,,
265,C,10.15,12:10,2,A-2,F,North Key Largo,N,,,,no recordings,NA,,,,
282,C,10.15,12:10,2,A-3,M,North Key Largo,N,,,,no recordings,NA,,,,
242,Petri2,10.15,12:10,2,A-4,F,North Key Largo,N,,,,no recordings,NA,,,,
127,B,10.15,12:10,2,B-1,M,Homestead,N,,,,no recordings,NA,,,,
51,B,10.15,12:10,2,B-2,F,Key Largo,N,Y,,,no recordings,NA,,,,
118,A,10.15,12:10,2,B-3,F,Homestead,N,,,,no recordings,NA,,,,
112,A,10.15,12:10,2,B-4,F,Homestead,N,Y,,,no recordings,NA,,,,
30,A,10.15,12:45,3,A-1,F,Plantation Key,N,,,,,set003-10-15-19-A1.txt,,,,
141,Petri1,10.15,12:45,3,A-2,F,Lake Wales,N,Y,,,,set003-10-15-19-A2.txt,,,,
313,C,10.15,12:45,3,A-3,F,Lake Placid,Y,,B,bursts,,set003-10-15-19-A3.txt,,,,
82,B,10.15,12:45,3,A-4,M,North Key Largo,N,,,,,set003-10-15-19-A4.txt,,,,
402,Petri2,10.15,12:45,3,B-1,M,Gainesville,N,,,,,set003-10-15-19-B1.txt,,,,
86,B,10.15,12:45,3,B-2,M,North Key Largo,N,,,,,set003-10-15-19-B2.txt,,,,
58,B,10.15,12:45,3,B-3,F,Key Largo,N,,,,,set003-10-15-19-B3.txt,,,,
132,B,10.15,12:45,3,B-4,M,Homestead,Y,,C,continuous,struggled against gravity,set003-10-15-19-B4.txt,,,,
262,C,10.15,1:30,4,A-1,M,North Key Largo,Y,,B,,,set004-10-15-19-A1.txt,,,,
105,A,10:15,1:30,4,A-2,F,Homestead,N,,,,,set004-10-15-19-A2.txt,,,,
237,Petri2,10:15,1:30,4,A-3,F,North Key Largo,N,,,,,set004-10-15-19-A3.txt,,,,
